"SQ_CANDIDATO";"NM_CANDIDATO";"NM_SOCIAL_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_ESTADO_CIVIL";"DS_COR_RACA";"DS_OCUPACAO";"DS_SITUACAO_CANDIDATURA";"BENS_TOTAL";"DS_SIT_TOT_TURNO";"TOTAL_VOTOS";"RECEITA_TOTAL";"TIPO_RECEITA";"ST_REELEICAO"
250001088450;"MIGUEL CARMINE GIANETTI NETTO";"#NULO";"MDB";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ENGENHEIRO";"APTO";558990;"SUPLENTE";2287;49665;"Recursos de pessoas físicas, Recursos próprios";"N"
250001088420;"MARCO AURELIO GABRIEL DE OLIVEIRA";"#NULO";"MDB";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ADVOGADO";"APTO";325000;"SUPLENTE";885;1000;"Recursos próprios";"N"
250000651045;"MARCELO THEODORO DE AGUIAR";"#NULO";"DEM";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"OUTROS";"APTO";408766,46;"SUPLENTE";8700;316990,78;"Recursos de partido político, Recursos de pessoas físicas";"N"
250000651022;"MÁRCIO TAVOLARI";"#NULO";"DEM";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"PUBLICITÁRIO";"APTO";9355,02;"SUPLENTE";180;106940,88;"Recursos de partido político";"N"
250000651059;"ESTER LOPES DE SOUZA FLOR";"#NULO";"DEM";"FEMININO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"AUXILIAR DE ESCRITÓRIO E ASSEMELHADOS";"APTO";145830;"SUPLENTE";3099;498908,13;"Recursos de pessoas físicas, Recursos de partido político, Recursos próprios";"N"
250000651044;"JUAREZ PEREIRA DA SILVA";"#NULO";"DEM";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"APTO";95830,49;"SUPLENTE";12340;112254,88;"Recursos de partido político, Recursos próprios";"N"
250000651021;"JEAN MADEIRA DA SILVA";"#NULO";"DEM";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"OUTROS";"APTO";559939,93;"SUPLENTE";3059;229686,88;"Recursos de pessoas físicas, Recursos de partido político";"N"
250000651069;"SHIRLEY APARECIDA DAMASCENA";"#NULO";"DEM";"FEMININO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"PARDA";"TRABALHADOR DOS SERVIÇOS DE CONTABILIDADE, DE CAIXA E ASSEMELHADOS";"APTO";0;"SUPLENTE";148;116725,88;"Recursos de partido político, Recursos próprios";"N"
250000881947;"CASSIO EDUARDO FONSECA";"#NULO";"PTB";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"PRETA";"PROFESSOR E INSTRUTOR DE FORMAÇÃO PROFISSIONAL";"APTO";NA;"SUPLENTE";319;6246,36;"Recursos próprios, Recursos de partido político";"N"
250000881957;"FRANCISCO DE ASSIS TIMÓTEO LEITE";"#NULO";"PTB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"COMERCIANTE";"APTO";1000;"SUPLENTE";2659;3950;"Recursos de pessoas físicas";"N"
