"SQ_CANDIDATO";"NM_CANDIDATO";"NM_SOCIAL_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_ESTADO_CIVIL";"DS_COR_RACA";"DS_OCUPACAO";"DS_SITUACAO_CANDIDATURA";"ST_REELEICAO";"DS_SITUACAO_JULGAMENTO_URNA";"DS_SIT_TOT_TURNO";"TOTAL_VOTOS";"RECEITA_TOTAL";"TIPO_RECEITA";"BENS_TOTAL"
250001913955;"ROGERIO MUNHOZ";"#NULO";"PT";"MASCULINO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"OUTROS";"#NE";"N";"DEFERIDO";"SUPLENTE";215;52365,87;"FUNDO ESPECIAL";NA
250001913977;"GIVANILDO GONÇALVES DOS SANTOS";"#NULO";"PT";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PARDA";"OUTROS";"#NE";"N";"DEFERIDO";"SUPLENTE";2100;53839,55;"FUNDO ESPECIAL";3e+05
250002161344;"MARISA BIERRENBACH BLANDY";"#NULO";"PSD";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"PROFESSOR DE ENSINO MÉDIO";"#NE";"N";"DEFERIDO";"SUPLENTE";104;89375;"FUNDO ESPECIAL, OUTROS RECURSOS";NA
250002161339;"RONALDO AUGUSTO BRETAS MARZAGÃO JÚNIOR";"#NULO";"PSD";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"EMPRESÁRIO";"#NE";"N";"DEFERIDO";"SUPLENTE";2638;215375;"FUNDO ESPECIAL, OUTROS RECURSOS";1383000
250002161322;"EDIR SALES";"#NULO";"PSD";"FEMININO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"VEREADOR";"#NE";"S";"DEFERIDO";"ELEITO POR QP";58190;2688055,05;"OUTROS RECURSOS, FUNDO PARTIDARIO";1675239,14
250002161333;"AHMED MOHAMAD OLIVEIRA ANDRADE";"#NULO";"PSD";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"SERVIDOR PÚBLICO FEDERAL";"#NE";"N";"DEFERIDO";"SUPLENTE";16550;1231375;"OUTROS RECURSOS, FUNDO ESPECIAL";278494,41
250002161341;"MARCIA RAICHER";"#NULO";"PSD";"FEMININO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"BRANCA";"ADVOGADO";"#NE";"N";"DEFERIDO";"SUPLENTE";469;112875;"FUNDO ESPECIAL, OUTROS RECURSOS";125000
250002161327;"HARTMANN GONÇALVES LEÃO JUNIOR";"#NULO";"PSD";"MASCULINO";"SUPERIOR INCOMPLETO";"CASADO(A)";"BRANCA";"CORRETOR DE IMÓVEIS, SEGUROS, TÍTULOS E VALORES";"#NE";"N";"DEFERIDO";"SUPLENTE";33;89498,45;"FUNDO ESPECIAL, OUTROS RECURSOS";NA
250002173939;"MOEMA ARRUDA DOS SANTOS";"#NULO";"PDT";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"BRANCA";"ADVOGADO";"#NE";"N";"DEFERIDO";"NÃO ELEITO";201;30000;"FUNDO ESPECIAL";10000
250002173921;"NEUDES RIBEIRO DE CARVALHO";"#NULO";"PDT";"FEMININO";"SUPERIOR COMPLETO";"SOLTEIRO(A)";"PRETA";"AGENTE ADMINISTRATIVO";"#NE";"N";"DEFERIDO";"NÃO ELEITO";189;80000;"FUNDO ESPECIAL";NA
250002173957;"EVANDO REIS";"#NULO";"PDT";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ENGENHEIRO";"#NE";"N";"DEFERIDO";"NÃO ELEITO";484;11450;"OUTROS RECURSOS";1009678,19
