"SQ_CANDIDATO";"NM_CANDIDATO";"NM_SOCIAL_CANDIDATO";"SG_PARTIDO";"DS_GENERO";"DS_GRAU_INSTRUCAO";"DS_ESTADO_CIVIL";"DS_COR_RACA";"DS_OCUPACAO";"DS_SITUACAO_CANDIDATURA";"ST_REELEICAO";"BENS_TOTAL";"DS_SIT_TOT_TURNO";"TOTAL_VOTOS";"RECEITA_TOTAL";"TIPO_RECEITA"
250000019184;"CLAUDIO ROGERIO FIRMINO";"#NULO#";"PTB";"MASCULINO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"PRETA";"COMERCIANTE";"APTO";"N";1e+05;"SUPLENTE";898;NA;NA
250000093900;"IVONEIDE COELHO GOMES MOREIRA";"#NULO#";"PPL";"FEMININO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"OUTROS";"APTO";"N";NA;"NÃO ELEITO";136;NA;NA
250000005818;"LUIZ VICENTE VICENTIN AGUILAR";"#NULO#";"NOVO";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"BRANCA";"ENGENHEIRO";"APTO";"N";1753348,38;"SUPLENTE";1365;15700;"Recursos próprios, Recursos de pessoas físicas"
250000027288;"UZIEL FERREIRA DO NASCIMENTO";"#NULO#";"PRP";"MASCULINO";"ENSINO MÉDIO COMPLETO";"SOLTEIRO(A)";"BRANCA";"TRABALHADOR DE CONSTRUÇÃO CIVIL";"APTO";"N";31000;"NÃO ELEITO";602;294;"Recursos próprios"
250000004980;"ALBERTO ALVES COUTINHO";"#NULO#";"PSDB";"MASCULINO";"SUPERIOR COMPLETO";"SEPARADO(A) JUDICIALMENTE";"BRANCA";"SERVIDOR PÚBLICO FEDERAL";"APTO";"N";25001,13;"SUPLENTE";1984;5284,4;"Recursos de pessoas físicas, Recursos de outros candidatos, Recursos próprios"
250000058364;"ANA LUCIA GERALDO DE SANTANA";"#NULO#";"PTN";"FEMININO";"ENSINO MÉDIO COMPLETO";"CASADO(A)";"BRANCA";"ADMINISTRADOR";"APTO";"N";NA;"SUPLENTE";454;142,2;"Recursos de outros candidatos"
250000006169;"ODENILDO SOARES BRAGA";"#NULO#";"PC do B";"MASCULINO";"ENSINO FUNDAMENTAL COMPLETO";"VIÚVO(A)";"PARDA";"VIGILANTE";"APTO";"N";NA;"NÃO ELEITO";156;5436,45;"Recursos próprios, Recursos de partido político"
250000011019;"HUMBERTO YUDI WATANABE";"#NULO#";"DEM";"MASCULINO";"SUPERIOR COMPLETO";"CASADO(A)";"AMARELA";"EMPRESÁRIO";"APTO";"N";123052,61;"SUPLENTE";9336;52791,8;"Recursos de outros candidatos, Recursos próprios, Recursos de partido político"
250000005008;"JOSÉ LEONARDO DE MOURA COUTINHO FILHO";"#NULO#";"PSDB";"MASCULINO";"ENSINO MÉDIO INCOMPLETO";"CASADO(A)";"BRANCA";"JORNALISTA E REDATOR";"APTO";"N";NA;"SUPLENTE";6044;163718,42;"Recursos de outros candidatos, Doações pela Internet, Recursos de pessoas físicas, Recursos de partido político"
250000010888;"MARCELO MORENO";"#NULO#";"PHS";"MASCULINO";"SUPERIOR COMPLETO";"DIVORCIADO(A)";"PARDA";"EMPRESÁRIO";"APTO";"N";20,59;"SUPLENTE";1217;8700;"Recursos de pessoas físicas"
